lon,lat,distance,waymark
-5.68446,50.07778,2885.427477336620,
-5.68438,50.07786,2895.99730954964,
-5.68431,50.07793,2905.2459085156800,
-5.68424,50.07799,2913.5803470414000,
-5.68417,50.07805,2921.914781821140,
-5.68352,50.07863,3001.35493600559,
-5.68325,50.07887,3034.2697828618900,
-5.68316,50.07895,3045.2413859340800,
-5.68273,50.07934,3098.3648000669700,
-5.6824,50.07964,3139.197187696880,
-5.68223,50.07979,3159.8211613208600,
-5.68206,50.07992,3178.691961296380,
-5.68193,50.08001,3192.337482684060,
-5.6818,50.08011,3206.8182343927300,
-5.68172,50.08016,3214.7867510026300,
-5.68163,50.08023,3224.8777045884000,
-5.6816,50.08026,3228.8413331874400,
-5.68157,50.08029,3232.804961061880,
-5.68154,50.08033,3237.741091261610,
-5.68149,50.08038,3244.347134504900,
-5.68145,50.08042,3249.6319676524300,
-5.68142,50.08046,3254.5680953354200,
-5.68136,50.08055,3265.452982301280,
-5.68128,50.08066,3278.9509206016200,
-5.68117,50.08081,3297.384718035030,
-5.68107,50.08098,3317.589772333130,
-5.68099,50.08112,3334.1706748240000,
-5.68094,50.08121,3344.795161356020,
-5.68089,50.0813,3355.4196456381800,
-5.68085,50.08139,3365.826248752110,
-5.68082,50.08147,3374.975785757510,
-5.68078,50.08157,3386.4557503059200,
-5.68074,50.08165,3395.798015038960,
-5.6807,50.08173,3405.1402783162000,
-5.68067,50.08181,3414.289811768220,
-5.68063,50.0819,3424.6964065543600,
-5.68059,50.08198,3434.0386652849200,
-5.68055,50.08206,3443.3809225596400,
-5.68054,50.08209,3446.7922320524600,
-5.68052,50.08213,3451.4633598713200,
-5.6805,50.08217,3456.134487326350,
-5.68047,50.08222,3462.092081830300,
-5.68044,50.08227,3468.049675532010,
-5.68041,50.0823,3472.013254934050,
-5.68039,50.08233,3475.6415293963600,
-5.68038,50.08234,3476.9627221292300,
-5.68034,50.08237,3481.352910605480,
-5.6803,50.08242,3487.602446160910,
-5.68026,50.08245,3491.9926315417400,
-5.68023,50.08247,3495.079337762040,
-5.68021,50.08249,3497.721720894830,
-5.68017,50.08252,3502.111903566130,
-5.68013,50.08255,3506.502085075220,
-5.68007,50.08258,3511.929413954250,
-5.68001,50.08261,3517.3567407198200,
-5.67997,50.08262,3520.4197767634300,
-5.67992,50.08265,3525.304000672470,
-5.67988,50.08266,3528.367034497000,
-5.67983,50.08268,3532.5710149530200,
-5.67976,50.0827,3538.038375892490,
-5.67971,50.08271,3541.7752367840000,
-5.67968,50.08271,3543.915790252040,
-5.67966,50.08272,3545.724896356040,
-5.67952,50.08275,3556.25641633749,
-5.67912,50.08284,3586.5007646687700,
-5.67892,50.08289,3601.8158755412100,
-5.6788,50.08293,3611.464390869310,
-5.67867,50.08296,3621.3216859429100,
-5.67857,50.08299,3629.198113859450,
-5.67845,50.08302,3638.387157081980,
-5.67828,50.08308,3652.230627689290,
-5.67818,50.08311,3660.107039424430,
-5.6777,50.08325,3697.7275428737100,
-5.67721,50.08341,3736.955889536350,
-5.67705,50.08346,3749.6538613924400,
-5.67693,50.0835,3759.3022863710100,
-5.67685,50.08353,3765.913618209240,
-5.67679,50.08356,3771.3408780493500,
-5.67675,50.08358,3774.959050101750,
-5.67671,50.0836,3778.5772212153300,
-5.67668,50.08363,3782.5407685432900,
-5.67666,50.08366,3786.169027433730,
-5.67663,50.08368,3789.2556961842400,
-5.67662,50.0837,3791.5912529085700,
-5.6766,50.08373,3795.219510979410,
-5.67659,50.08375,3797.555067476370,
-5.67658,50.08378,3800.9663717069400,
-5.67657,50.08382,3805.4710401659000,
-5.67657,50.08385,3808.806892571950,
-5.67657,50.08389,3813.2546957811900,
-5.67657,50.08395,3819.9264005961200,
-5.67657,50.08401,3826.5981054096300,
-5.67658,50.08406,3832.203455016030,
-5.67658,50.08408,3834.427356621010,
-5.67659,50.08414,3841.1371049817500,
-5.6766,50.08421,3848.9533938277900,
-5.67661,50.08424,3852.364696626260,
